"playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","decade","duration_sec"
"rock",0.608,0.612,0,-6.874,1,0.0318,0.296,9.46e-06,0.117,0.264,140.941,"1980s",282.427
"rock",0.664,0.794,7,-6.145,0,0.0409,0.209,8.61e-06,0.0778,0.439,97.092,"1980s",269.067
"rock",0.551,0.508,11,-7.228,0,0.0346,0.701,0.00257,0.0425,0.129,140.894,"1980s",295.4
"rock",0.699,0.7,11,-5.314,0,0.0299,0.195,3.79e-06,0.0697,0.724,130.824,"1980s",274.16
"rock",0.578,0.667,5,-6.586,1,0.0345,0.414,0,0.0652,0.675,76.518,"1980s",279.24
"rock",0.646,0.575,4,-7.448,0,0.0331,0.213,9.64e-06,0.34,0.667,96.333,"1980s",258.893
"rock",0.743,0.756,0,-6.337,1,0.0265,0.0988,0,0.275,0.909,124.557,"1980s",251.707
"rock",0.665,0.696,0,-5.602,1,0.0268,0.177,1.33e-05,0.033,0.508,126.476,"1980s",279.733
"r&b",0.9,0.83,2,-5.812,1,0.0742,0.121,9.67e-06,0.214,0.714,104.998,"2010s",174.857
"pop",0.827,0.851,11,-4.589,0,0.103,0.122,2.31e-05,0.0706,0.928,127.993,"2010s",214.132
"pop",0.713,0.709,4,-6.451,1,0.0703,0.042,0,0.0995,0.708,109.973,"2010s",283.4
"pop",0.554,0.782,0,-2.927,1,0.0367,0.198,0,0.0756,0.63,155.912,"2010s",193.417
"pop",0.711,0.934,11,-0.7,1,0.0588,0.0445,8.83e-06,0.0537,0.866,124.988,"2010s",224.333
"pop",0.721,0.861,4,-4.87,0,0.0847,0.151,0,0.118,0.64,132.065,"2010s",231.933
"pop",0.826,0.569,5,-7.18,1,0.0473,0.287,0.000491,0.0449,0.555,105.014,"2010s",215.14
"edm",0.511,0.72,9,-5.229,0,0.0466,0.149,0.00422,0.0853,0.301,120.207,"2010s",212.764
"edm",0.453,0.507,5,-6.447,1,0.0506,0.639,0,0.478,0.509,114.911,"2010s",198.24
"rap",0.686,0.539,6,-7.172,1,0.121,0.0764,0,0.0787,0.627,180.071,"2010s",242.39
"rock",0.448,0.84,1,-3.938,0,0.0361,0.0012,0,0.0883,0.235,157.985,"2010s",215.84
"edm",0.672,0.978,9,-3.246,1,0.106,0.138,0.000482,0.212,0.567,126.022,"2010s",187.976
"edm",0.793,0.868,0,-4.001,1,0.173,0.0304,0.00961,0.085,0.85,124.985,"2010s",202.498
"edm",0.842,0.871,0,-5.143,0,0.0441,0.0587,0.000132,0.0849,0.949,119.97,"2010s",182.835
"edm",0.706,0.842,2,-5.479,1,0.0501,0.126,0.00694,0.248,0.927,128.001,"2010s",199.521
